dataset_key,dataset,rows,row_type,model_key,model,predicted_label,accuracy,macro_f1,fixed,partially_fixed,unresolved,regressed,fixed_f1,partially_fixed_f1,unresolved_f1,regressed_f1,fixed_recall,partially_fixed_recall,unresolved_recall,regressed_recall
iclr2024_clean_dev_v7,ICLR 2024 clean dev v7,148,null_baseline,majority_label,Majority-label baseline,partially_fixed,0.581081081081081,0.18376068376068375,50,86,11,1,0.0,0.735042735042735,0.0,0.0,0.0,1.0,0.0,0.0
iclr2024_clean_dev_v7,ICLR 2024 clean dev v7,148,null_baseline,constant_partially_fixed,Constant partially_fixed,partially_fixed,0.581081081081081,0.18376068376068375,50,86,11,1,0.0,0.735042735042735,0.0,0.0,0.0,1.0,0.0,0.0
iclr2024_clean_dev_v7,ICLR 2024 clean dev v7,148,model,tfidf,TF-IDF + LinearSVC,,0.5608108108108109,0.3755193694244165,50,86,11,1,0.5102040816326531,0.6347305389221557,0.35714285714285715,0.0,0.5,0.6162790697674418,0.45454545454545453,0.0
iclr2024_clean_dev_v7,ICLR 2024 clean dev v7,148,model,mpnet,MPNet + LinearSVC,,0.581081081081081,0.3894849415255115,50,86,11,1,0.5544554455445545,0.6463414634146342,0.35714285714285715,0.0,0.56,0.6162790697674418,0.45454545454545453,0.0
iclr2024_clean_dev_v7,ICLR 2024 clean dev v7,148,model,structured_no_overrides,Structured (No Overrides),,0.6554054054054054,0.423731394671328,50,86,11,1,0.6021505376344087,0.735632183908046,0.35714285714285715,0.0,0.56,0.7441860465116279,0.45454545454545453,0.0
iclr2024_clean_dev_v7,ICLR 2024 clean dev v7,148,model,structured,Structured,,0.6824324324324325,0.7038066988011371,50,86,11,1,0.6236559139784946,0.7471264367816092,0.4444444444444444,1.0,0.58,0.7558139534883721,0.5454545454545454,1.0
iclr2025_repro_v2,ICLR 2025 repro v2,21,null_baseline,majority_label,Majority-label baseline,partially_fixed,0.7619047619047619,0.2162162162162162,5,16,0,0,0.0,0.8648648648648648,0.0,0.0,0.0,1.0,0.0,0.0
iclr2025_repro_v2,ICLR 2025 repro v2,21,null_baseline,constant_partially_fixed,Constant partially_fixed,partially_fixed,0.7619047619047619,0.2162162162162162,5,16,0,0,0.0,0.8648648648648648,0.0,0.0,0.0,1.0,0.0,0.0
iclr2025_repro_v2,ICLR 2025 repro v2,21,model,tfidf,TF-IDF + LinearSVC,,0.7619047619047619,0.2162162162162162,5,16,0,0,0.0,0.8648648648648648,0.0,0.0,0.0,1.0,0.0,0.0
iclr2025_repro_v2,ICLR 2025 repro v2,21,model,modernbert,ModernBERT + LinearSVC,,0.5238095238095238,0.23809523809523808,5,16,0,0,0.2857142857142857,0.6666666666666666,0.0,0.0,0.4,0.5625,0.0,0.0
iclr2025_repro_v2,ICLR 2025 repro v2,21,model,mpnet,MPNet + LinearSVC,,0.38095238095238093,0.19692307692307695,5,16,0,0,0.3076923076923077,0.4800000000000001,0.0,0.0,0.4,0.375,0.0,0.0
iclr2025_repro_v2,ICLR 2025 repro v2,21,model,issue_ledger,Issue-Ledger,,0.3333333333333333,0.14,5,16,0,0,0.0,0.56,0.0,0.0,0.0,0.4375,0.0,0.0
iclr2025_repro_v2,ICLR 2025 repro v2,21,model,structured,Structured,,0.5714285714285714,0.22741935483870968,5,16,0,0,0.20000000000000004,0.7096774193548386,0.0,0.0,0.2,0.6875,0.0,0.0
