dataset,method,n,macro_f1,majority_macro_f1,delta_vs_majority,delta_ci95_low,delta_ci95_high,p_delta_le_zero,status
ICLR24,Majority,148,0.18376068376068375,0.18376068376068375,0.0,0.0,0.0,1.0,reference
ICLR24,GPT-5.5 (v2),148,0.35047613990371,0.18376068376068375,0.16671545614302627,0.09273287237736777,0.24955264380662548,0.0,above_majority
ICLR24,GPT-4.1-mini,148,0.34735449735449736,0.18376068376068375,0.16359381359381361,0.09054003762464374,0.24503301052579884,0.0,above_majority
ICLR24,Qwen2.5-72B,148,0.33419913419913416,0.18376068376068375,0.15043845043845042,0.08231757749785415,0.22671158822020876,0.0,above_majority
ICLR24,Vote-3 (top),148,0.3516951386691975,0.18376068376068375,0.16793445490851375,0.09569590132090135,0.2509532286245824,0.0,above_majority
ICLR24,Vote-3 (+U+F-cal),148,0.35029539722038827,0.18376068376068375,0.16653471345970453,0.09739672067208195,0.24365942833135978,0.0,above_majority
ICLR25,Majority,80,0.22602739726027396,0.22602739726027396,0.0,0.0,0.0,1.0,reference
ICLR25,GPT-5.5 (v2),80,0.0810340022296544,0.22602739726027396,-0.14499339503061956,-0.1997201518740812,-0.06776838574039287,0.9996,overlap_or_below
ICLR25,GPT-4.1-mini,80,0.06596638655462185,0.22602739726027396,-0.1600610107056521,-0.17602739726027397,-0.1362285466855613,1.0,overlap_or_below
ICLR25,Qwen2.5-72B,80,0.0721838882180438,0.22602739726027396,-0.15384350904223015,-0.19150358773646442,-0.11293215916503586,1.0,overlap_or_below
ICLR25,Vote-3 (top),80,0.0714703425229741,0.22602739726027396,-0.15455705473729986,-0.1939330194963643,-0.11491531217378496,1.0,overlap_or_below
ICLR25,Vote-3 (+U+F-cal),80,0.09428037715708948,0.22602739726027396,-0.13174702010318448,-0.19805120678408347,-0.04656670784152739,0.9986,overlap_or_below
NeurIPS24,Majority,80,0.1774193548387097,0.1774193548387097,0.0,0.0,0.0,1.0,reference
NeurIPS24,GPT-5.5 (v2),80,0.17094017094017092,0.1774193548387097,-0.006479183898538771,-0.019299696719051573,0.004398826979472137,0.862,overlap_or_below
NeurIPS24,GPT-4.1-mini,80,0.18055555555555558,0.1774193548387097,0.003136200716845894,-0.012325015216068158,0.01803519061583575,0.3192,overlap_or_below
NeurIPS24,Qwen2.5-72B,80,0.16509433962264153,0.1774193548387097,-0.012325015216068158,-0.03178828687754465,0.005619674510653761,0.91,overlap_or_below
NeurIPS24,Vote-3 (top),80,0.17857142857142858,0.1774193548387097,0.001152073732718889,-0.01362625139043383,0.013884992987377248,0.4444,overlap_or_below
NeurIPS24,Vote-3 (+U+F-cal),80,0.16666666666666666,0.1774193548387097,-0.010752688172043029,-0.02391058290888512,0.0005467468562055655,0.9664,overlap_or_below
